LIQUIDITY_POOL_ADDRESS,POOL_NAME,TOKEN0_ADDRESS,TOKEN0_DECIMALS,TOKEN1_ADDRESS,TOKEN1_DECIMALS,FEE
0xa8bacb112838f6f508de689abe8b26735a20ac7a,uniswap: BEAST-WETH 10000,0x3f3c6bf2f812f652501cef6ff2ffc55b8971a7f1,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x7ec0b75a98997c927ace6d87958147a105147ea0,uniswap: YGG-USDC 10000,0x25f8087ead173b73d6e8b84329989a8eea16cf73,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,10000
0xb309b085b67a6b913818872fdc4fd7e732676faa,uniswap: WETH-NiHao 10000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xc3681a720605bd6f8fe9a2fabff6a7cdecdc605d,18,10000
0x27194108e85c3097255b831137ea5916eb6e5b57,uniswap: NRFB-USDT 100,0x00281dfce4cfd72c0b6fda2aaaf077258743f9e8,0,0xdac17f958d2ee523a2206206994597c13d831ec7,6,100
0x6ffb1f29f8d6a1f8331475790d4cdfab916cd35b,uniswap: SEC-WETH 3000,0x152abf2cc6b3bbd8d51d2ee1678139b91c520482,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0xd270f1a01edeb9bd3c080ba58ac6ff28413d7485,uniswap: BSK-WETH 10000,0xa6052d79bcb9871459b179443c0d628013a30870,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x887365f5e20efa46ece8b8b32e6f616b447a6a84,uniswap: DARK-WETH 10000,0x8efe7dd5984640537b6596fb28b762f6c000f184,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0xd4c1fdc6e4c7bafef4957b819bca1aa2ca4994d1,uniswap: QNT-MATIC 10000,0x4a220e6096b25eadb88358cb44068a3248254675,18,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,18,10000
0xf126ae22ec5a6cce50776fa59533ad655308aeac,uniswap: V3-WETH 3000,0x819772aa0662cdfc4605fed798250a0348cc0c59,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0xa8e63c190bbf4d6f5cb8f19f285b336355d2b06b,uniswap: DARK-USDC 10000,0x8efe7dd5984640537b6596fb28b762f6c000f184,9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,10000
0xddffe742268257ea86cc5844457ae860d151b81b,uniswap: PUSSY2.0-WETH 10000,0x8bf820345895f3a92206114048c9bf011fe2a83e,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x5cbfff5357384c0d00f604fc4e4db11db0cac8eb,uniswap: TELE-WETH 10000,0x6cca981e8e1e318a696feb455d298fc65227ed8d,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0xaaf6b5526b6a301b8a5a4eb6fae6614087dfd603,uniswap: SHIB3.0-WETH 10000,0x3e10e19260cdd9b703f535fdc5d738881aa3cac4,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0xd38436ff9ea3c17486367c51c0511b28bdf3b8d7,uniswap: WETH-uhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh 10000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xce0740ba3fc551c25a2b48b85bf70d173f602b42,9,10000
0x00fe38f61a15108bdb8dd25e934d2510811d430b,uniswap: TCATI-WETH 10000,0x43377cc34274e89dc265985d4bf9a1eb15a74bda,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x6d6b401603c76546068ccfafc5622dff053aa581,uniswap: WETH-POULTER 3000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xf5af4203792a662ddea3965443637b2dbc72b88a,18,3000
0xe6c4716b0047f5ae94a26dcdac9dbe3f8dede571,uniswap: ST-WETH 10000,0x16984079d925483c7e39075d5206a1a43ce4068a,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x5b7e3e37a1aa6369386e5939053779abd3597508,uniswap: WETH-RIO 3000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xf21661d0d1d76d3ecb8e1b9f1c923dbfffae4097,18,3000
0x05aebcb166ab3ba4048324c5d7eca4b490cc157c,uniswap: WETH-RSX 3000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xf1dc545e3375328f3336584f65f58e68412b2595,9,3000
0xb64508b9f7b81407549e13db970dd5bb5c19107f,uniswap: FXS-FRAX 10000,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,18,0x853d955acef822db058eb8505911ed77f175b99e,18,10000
0xcd83055557536eff25fd0eafbc56e74a1b4260b3,uniswap: PERP-WETH 3000,0xbc396689893d065f41bc2c6ecbee5e0085233447,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0xa3a9a863ed908aa95cb17e1781aa97e6693bf604,uniswap: RSR-WETH 10000,0x320623b8e4ff03373931769a31fc52a4e78b5d70,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0xb1914469141ebb6e244e75cee3f35d43bf6b85e5,uniswap: TRAC-WETH 3000,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0x0df407bc6abe9af2093dcb4c974e18d40a6a381a,uniswap: WETH-KCS 10000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,6,10000
0x00ed26e794b949e18b142f9108429b74ce08ac99,uniswap: WETH-SPX 10000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c,8,10000
0x1a80afe14143637c0b7609e6e276464e4f748014,uniswap: BANK-WETH 10000,0x2d94aa3e47d9d5024503ca8491fce9a2fb4da198,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x73ea3d8ba3d7380201b270ec504b33ed5e478542,uniswap: USDC-crvUSD 500,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,18,500
0x433a00819c771b33fa7223a5b3499b24fbcd1bbc,uniswap: wTAO-WETH 10000,0x77e06c9eccf2e797fd462a92b6d7642ef85b0a44,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
